Row,Table,Type
SK_ID_PREV,POS_CASH_balance,object
SK_ID_CURR,POS_CASH_balance,object
MONTHS_BALANCE,POS_CASH_balance,float64
CNT_INSTALMENT,POS_CASH_balance,float64
CNT_INSTALMENT_FUTURE,POS_CASH_balance,float64
NAME_CONTRACT_STATUS,POS_CASH_balance,object
SK_DPD,POS_CASH_balance,float64
SK_DPD_DEF,POS_CASH_balance,float64
SK_ID_CURR,application_train,object
TARGET,application_train,object
NAME_CONTRACT_TYPE,application_train,object
CODE_GENDER,application_train,object
FLAG_OWN_CAR,application_train,object
FLAG_OWN_REALTY,application_train,object
CNT_CHILDREN,application_train,float64
AMT_INCOME_TOTAL,application_train,float64
AMT_CREDIT,application_train,float64
AMT_ANNUITY,application_train,float64
AMT_GOODS_PRICE,application_train,float64
NAME_TYPE_SUITE,application_train,object
NAME_INCOME_TYPE,application_train,object
NAME_EDUCATION_TYPE,application_train,object
NAME_FAMILY_STATUS,application_train,object
NAME_HOUSING_TYPE,application_train,object
REGION_POPULATION_RELATIVE,application_train,float64
DAYS_BIRTH,application_train,float64
DAYS_EMPLOYED,application_train,float64
DAYS_REGISTRATION,application_train,float64
DAYS_ID_PUBLISH,application_train,float64
OWN_CAR_AGE,application_train,float64
FLAG_MOBIL,application_train,object
FLAG_EMP_PHONE,application_train,object
FLAG_WORK_PHONE,application_train,object
FLAG_CONT_MOBILE,application_train,object
FLAG_PHONE,application_train,object
FLAG_EMAIL,application_train,object
OCCUPATION_TYPE,application_train,object
CNT_FAM_MEMBERS,application_train,float64
REGION_RATING_CLIENT,application_train,object
REGION_RATING_CLIENT_W_CITY,application_train,object
WEEKDAY_APPR_PROCESS_START,application_train,object
HOUR_APPR_PROCESS_START,application_train,float64
REG_REGION_NOT_LIVE_REGION,application_train,object
REG_REGION_NOT_WORK_REGION,application_train,object
LIVE_REGION_NOT_WORK_REGION,application_train,object
REG_CITY_NOT_LIVE_CITY,application_train,object
REG_CITY_NOT_WORK_CITY,application_train,object
LIVE_CITY_NOT_WORK_CITY,application_train,object
ORGANIZATION_TYPE,application_train,object
EXT_SOURCE_1,application_train,float64
EXT_SOURCE_2,application_train,float64
EXT_SOURCE_3,application_train,float64
APARTMENTS_AVG,application_train,float64
BASEMENTAREA_AVG,application_train,float64
YEARS_BEGINEXPLUATATION_AVG,application_train,float64
YEARS_BUILD_AVG,application_train,float64
COMMONAREA_AVG,application_train,float64
ELEVATORS_AVG,application_train,float64
ENTRANCES_AVG,application_train,float64
FLOORSMAX_AVG,application_train,float64
FLOORSMIN_AVG,application_train,float64
LANDAREA_AVG,application_train,float64
LIVINGAPARTMENTS_AVG,application_train,float64
LIVINGAREA_AVG,application_train,float64
NONLIVINGAPARTMENTS_AVG,application_train,float64
NONLIVINGAREA_AVG,application_train,float64
APARTMENTS_MODE,application_train,float64
BASEMENTAREA_MODE,application_train,float64
YEARS_BEGINEXPLUATATION_MODE,application_train,float64
YEARS_BUILD_MODE,application_train,float64
COMMONAREA_MODE,application_train,float64
ELEVATORS_MODE,application_train,float64
ENTRANCES_MODE,application_train,float64
FLOORSMAX_MODE,application_train,float64
FLOORSMIN_MODE,application_train,float64
LANDAREA_MODE,application_train,float64
LIVINGAPARTMENTS_MODE,application_train,float64
LIVINGAREA_MODE,application_train,float64
NONLIVINGAPARTMENTS_MODE,application_train,float64
NONLIVINGAREA_MODE,application_train,float64
APARTMENTS_MEDI,application_train,float64
BASEMENTAREA_MEDI,application_train,float64
YEARS_BEGINEXPLUATATION_MEDI,application_train,float64
YEARS_BUILD_MEDI,application_train,float64
COMMONAREA_MEDI,application_train,float64
ELEVATORS_MEDI,application_train,float64
ENTRANCES_MEDI,application_train,float64
FLOORSMAX_MEDI,application_train,float64
FLOORSMIN_MEDI,application_train,float64
LANDAREA_MEDI,application_train,float64
LIVINGAPARTMENTS_MEDI,application_train,float64
LIVINGAREA_MEDI,application_train,float64
NONLIVINGAPARTMENTS_MEDI,application_train,float64
NONLIVINGAREA_MEDI,application_train,float64
FONDKAPREMONT_MODE,application_train,object
HOUSETYPE_MODE,application_train,object
TOTALAREA_MODE,application_train,float64
WALLSMATERIAL_MODE,application_train,object
EMERGENCYSTATE_MODE,application_train,object
OBS_30_CNT_SOCIAL_CIRCLE,application_train,float64
DEF_30_CNT_SOCIAL_CIRCLE,application_train,float64
OBS_60_CNT_SOCIAL_CIRCLE,application_train,float64
DEF_60_CNT_SOCIAL_CIRCLE,application_train,float64
DAYS_LAST_PHONE_CHANGE,application_train,float64
FLAG_DOCUMENT_2,application_train,object
FLAG_DOCUMENT_3,application_train,object
FLAG_DOCUMENT_4,application_train,object
FLAG_DOCUMENT_5,application_train,object
FLAG_DOCUMENT_6,application_train,object
FLAG_DOCUMENT_7,application_train,object
FLAG_DOCUMENT_8,application_train,object
FLAG_DOCUMENT_9,application_train,object
FLAG_DOCUMENT_10,application_train,object
FLAG_DOCUMENT_11,application_train,object
FLAG_DOCUMENT_12,application_train,object
FLAG_DOCUMENT_13,application_train,object
FLAG_DOCUMENT_14,application_train,object
FLAG_DOCUMENT_15,application_train,object
FLAG_DOCUMENT_16,application_train,object
FLAG_DOCUMENT_17,application_train,object
FLAG_DOCUMENT_18,application_train,object
FLAG_DOCUMENT_19,application_train,object
FLAG_DOCUMENT_20,application_train,object
FLAG_DOCUMENT_21,application_train,object
AMT_REQ_CREDIT_BUREAU_HOUR,application_train,float64
AMT_REQ_CREDIT_BUREAU_DAY,application_train,float64
AMT_REQ_CREDIT_BUREAU_WEEK,application_train,float64
AMT_REQ_CREDIT_BUREAU_MON,application_train,float64
AMT_REQ_CREDIT_BUREAU_QRT,application_train,float64
AMT_REQ_CREDIT_BUREAU_YEAR,application_train,float64
SK_ID_CURR,bureau,object
SK_ID_BUREAU,bureau,object
CREDIT_ACTIVE,bureau,object
CREDIT_CURRENCY,bureau,object
DAYS_CREDIT,bureau,float64
CREDIT_DAY_OVERDUE,bureau,float64
DAYS_CREDIT_ENDDATE,bureau,float64
DAYS_ENDDATE_FACT,bureau,float64
AMT_CREDIT_MAX_OVERDUE,bureau,float64
CNT_CREDIT_PROLONG,bureau,float64
AMT_CREDIT_SUM,bureau,float64
AMT_CREDIT_SUM_DEBT,bureau,float64
AMT_CREDIT_SUM_LIMIT,bureau,float64
AMT_CREDIT_SUM_OVERDUE,bureau,float64
CREDIT_TYPE,bureau,object
DAYS_CREDIT_UPDATE,bureau,float64
AMT_ANNUITY,bureau,float64
SK_ID_BUREAU,bureau_balance,object
MONTHS_BALANCE,bureau_balance,float64
STATUS,bureau_balance,object
SK_ID_PREV,credit_card_balance,object
SK_ID_CURR,credit_card_balance,object
MONTHS_BALANCE,credit_card_balance,float64
AMT_BALANCE,credit_card_balance,float64
AMT_CREDIT_LIMIT_ACTUAL,credit_card_balance,float64
AMT_DRAWINGS_ATM_CURRENT,credit_card_balance,float64
AMT_DRAWINGS_CURRENT,credit_card_balance,float64
AMT_DRAWINGS_OTHER_CURRENT,credit_card_balance,float64
AMT_DRAWINGS_POS_CURRENT,credit_card_balance,float64
AMT_INST_MIN_REGULARITY,credit_card_balance,float64
AMT_PAYMENT_CURRENT,credit_card_balance,float64
AMT_PAYMENT_TOTAL_CURRENT,credit_card_balance,float64
AMT_RECEIVABLE_PRINCIPAL,credit_card_balance,float64
AMT_RECIVABLE,credit_card_balance,float64
AMT_TOTAL_RECEIVABLE,credit_card_balance,float64
CNT_DRAWINGS_ATM_CURRENT,credit_card_balance,float64
CNT_DRAWINGS_CURRENT,credit_card_balance,float64
CNT_DRAWINGS_OTHER_CURRENT,credit_card_balance,float64
CNT_DRAWINGS_POS_CURRENT,credit_card_balance,float64
CNT_INSTALMENT_MATURE_CUM,credit_card_balance,float64
NAME_CONTRACT_STATUS,credit_card_balance,object
SK_DPD,credit_card_balance,float64
SK_DPD_DEF,credit_card_balance,float64
SK_ID_PREV,installments_payments,object
SK_ID_CURR,installments_payments,object
NUM_INSTALMENT_VERSION,installments_payments,object
NUM_INSTALMENT_NUMBER,installments_payments,float64
DAYS_INSTALMENT,installments_payments,float64
DAYS_ENTRY_PAYMENT,installments_payments,float64
AMT_INSTALMENT,installments_payments,float64
AMT_PAYMENT,installments_payments,float64
SK_ID_PREV,previous_application,object
SK_ID_CURR,previous_application,object
NAME_CONTRACT_TYPE,previous_application,object
AMT_ANNUITY,previous_application,float64
AMT_APPLICATION,previous_application,float64
AMT_CREDIT,previous_application,float64
AMT_DOWN_PAYMENT,previous_application,float64
AMT_GOODS_PRICE,previous_application,float64
WEEKDAY_APPR_PROCESS_START,previous_application,object
HOUR_APPR_PROCESS_START,previous_application,float64
FLAG_LAST_APPL_PER_CONTRACT,previous_application,object
NFLAG_LAST_APPL_IN_DAY,previous_application,object
RATE_DOWN_PAYMENT,previous_application,float64
RATE_INTEREST_PRIMARY,previous_application,float64
RATE_INTEREST_PRIVILEGED,previous_application,float64
NAME_CASH_LOAN_PURPOSE,previous_application,object
NAME_CONTRACT_STATUS,previous_application,object
DAYS_DECISION,previous_application,float64
NAME_PAYMENT_TYPE,previous_application,object
CODE_REJECT_REASON,previous_application,object
NAME_TYPE_SUITE,previous_application,object
NAME_CLIENT_TYPE,previous_application,object
NAME_GOODS_CATEGORY,previous_application,object
NAME_PORTFOLIO,previous_application,object
NAME_PRODUCT_TYPE,previous_application,object
CHANNEL_TYPE,previous_application,object
SELLERPLACE_AREA,previous_application,object
NAME_SELLER_INDUSTRY,previous_application,object
CNT_PAYMENT,previous_application,float64
NAME_YIELD_GROUP,previous_application,object
PRODUCT_COMBINATION,previous_application,object
DAYS_FIRST_DRAWING,previous_application,float64
DAYS_FIRST_DUE,previous_application,float64
DAYS_LAST_DUE_1ST_VERSION,previous_application,float64
DAYS_LAST_DUE,previous_application,float64
DAYS_TERMINATION,previous_application,float64
NFLAG_INSURED_ON_APPROVAL,previous_application,object
